Record Id,Commissary Item,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable
567,OTF Retail Unicorn Pop!,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",0.53,50,0.8,OTF Retail Rainbow Vanilla Popcorn,4201 - Retail Food Sales,FALSE
568,OTF Retail White Cheddar Popcorn,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",0.74,50,1.11,OTF Retail White Cheddar Popcorn,4201 - Retail Food Sales,FALSE
521,OTF Retail Zebra Chocolate Pretzel Rods,Recipe,,TRUE,Retail,Each,Each,"PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",0.971,50,1.46,OTF Retail Zebra Chocolate Pretzel Rods,4108 - Bakeshop Pastry Sales,FALSE
548,OTF Righteous Brownie,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4207,50,2.13,OTF Righteous Brownie,4108 - Bakeshop Pastry Sales,FALSE
112,OTF Salad Asian Chicken Noodle,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.3173,50,3.48,OTF Salad Asian Chicken Noodle,4104 - Grab & Go Food Sales,FALSE
16,OTF Salad BLT,Recipe,,TRUE,Grab & Go,Each,Each,,2.3271,50,3.49,OTF Salad BLT,4104 - Grab & Go Food Sales,FALSE
24,OTF Salad Chicken Caesar,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.6509,50,3.98,OTF Salad Chicken Caesar,4104 - Grab & Go Food Sales,FALSE
15,OTF Salad Chopped Asian Chicken,Recipe,,TRUE,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,2.5013,50,3.75,OTF Salad Chopped Asian Chicken,4104 - Grab & Go Food Sales,FALSE
426,OTF Salad Classic Beet,Recipe,,TRUE,Grab & Go,Each,Each,,2.798,50,4.2,OTF Salad Classic Beet,4104 - Grab & Go Food Sales,FALSE
14,OTF Salad Cobb,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",3.5999,50,5.4,OTF Salad Cobb,4104 - Grab & Go Food Sales,FALSE
13,OTF Salad Curry Bird,Recipe,,TRUE,Grab & Go,Each,Each,,2.6997,50,4.05,OTF Salad Curry Bird,4104 - Grab & Go Food Sales,FALSE
427,OTF Salad Italian Chopped,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",2.8467,50,4.27,OTF Salad Italian Chopped,4104 - Grab & Go Food Sales,FALSE
12,OTF Salad Kale & Farro,Recipe,,TRUE,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,2.7412,50,4.11,OTF Salad Kale & Farro,4104 - Grab & Go Food Sales,FALSE
11,OTF Salad Mexican Caesar,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",4.2142,50,6.32,OTF Salad Mexican Caesar,4104 - Grab & Go Food Sales,FALSE
36,OTF Salad Power Green,Recipe,,TRUE,Grab & Go,Each,Each,,2.3561,50,3.53,OTF Salad Power Green,4104 - Grab & Go Food Sales,FALSE
430,OTF Salad Quinoa,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.2344,50,3.35,OTF Salad Quinoa,4104 - Grab & Go Food Sales,FALSE
10,OTF Salad Sesame Tofu,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,1.8334,50,2.75,OTF Salad Sesame Tofu,4104 - Grab & Go Food Sales,FALSE
35,OTF Salad The Med,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",1.8771,50,2.82,OTF Salad The Med,4104 - Grab & Go Food Sales,FALSE
450,OTF Sandwich Chicken Caprese,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.576,50,3.86,OTF Sandwich Chicken Caprese,4104 - Grab & Go Food Sales,FALSE
22,OTF Sandwich Chicken Club,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.4561,50,3.68,OTF Sandwich Chicken Club,4104 - Grab & Go Food Sales,FALSE
452,OTF Sandwich Curry Chicken Salad,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.5967,50,3.9,OTF Sandwich Curry Chicken Salad,4104 - Grab & Go Food Sales,FALSE
451,OTF Sandwich Curry Chickpea,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,1.8658,50,2.8,OTF Sandwich Curry Chickpea,4104 - Grab & Go Food Sales,FALSE
438,OTF Sandwich Egg Salad,Recipe,,TRUE,Grab & Go,Each,Each,,3.1709,50,4.76,OTF Sandwich Egg Salad,4104 - Grab & Go Food Sales,FALSE
436,OTF Sandwich Ham & Cheddar,Recipe,,TRUE,Grab & Go,Each,Each,,2.2806,50,3.42,OTF Sandwich Ham & Cheddar,4104 - Grab & Go Food Sales,FALSE
443,OTF Sandwich Ham & Cheddar on Pretzel Roll,Recipe,,TRUE,Grab & Go,Each,Each,,2.3358,50,3.5,OTF Sandwich Ham & Cheddar on Pretzel Roll,4104 - Grab & Go Food Sales,FALSE
448,OTF Sandwich Ham & Swiss on Croissant,Recipe,,TRUE,Grab & Go,Each,Each,,2.3817,50,3.57,OTF Sandwich Ham & Swiss on Croissant,4104 - Grab & Go Food Sales,FALSE
23,OTF Sandwich Italian,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",2.3603,50,3.54,OTF Sandwich Italian,4104 - Grab & Go Food Sales,FALSE
444,OTF Sandwich Peanut Butter & Jelly,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,1.7501,50,2.63,OTF Sandwich Peanut Butter & Jelly,4104 - Grab & Go Food Sales,FALSE
445,OTF Sandwich Peanut Butter & Nutella,Recipe,,TRUE,Grab & Go,Each,Each,,1.844,50,2.77,OTF Sandwich Peanut Butter & Nutella,4104 - Grab & Go Food Sales,FALSE
21,OTF Sandwich Portobello,Recipe,,TRUE,Grab & Go,Each,Each,,2.0924,50,3.14,OTF Sandwich Portobello,4104 - Grab & Go Food Sales,FALSE
