SKU,Name,Units,Price,Description,Status,Sub-units of pack,Qty per pack,Sub-unit price,Is price by weight,Weight unit,Price per weight unit,Typical weight,Unit of typical weight,Parcel Length,Parcel Width,Parcel Height,Distance Unit,Internal product note,Barcode,Major Code,Taxable_x,Expires,Inventory,Commissary Item,Record Id,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable_y
MNKY405,"MNKY - Cake 8"" (1)",ea,41.25,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,"MNKY Cake 8""",325,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,41.25,0,41.25,"MNKY Cake 8""",4100 - Food Sales,FALSE
MNKY409,MNKY - Chocolate Plaque Upcharge (1),ea,2.25,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Chocolate Plaque Upcharge,324,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,2.25,0,2.25,MNKY Chocolate Plaque Upcharge,4100 - Food Sales,FALSE
MNKY401,MNKY - Coffee Cake (1),ea,33.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Coffee Cake,322,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,33.75,0,33.75,MNKY Coffee Cake,4100 - Food Sales,FALSE
MNKY506,MNKY - Cranberry Orange Chutney (1),ea,6.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,HOLIDAY Orange Cranberry Chutney,496,Recipe,,TRUE,MNKY,Pint,Pint,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Orange Cranberry Chutney,4106 - Comm Prepped Food Sales,FALSE
MNKY201,MNKY - Croissant Tray (1),ea,41.25,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Croissant Tray,321,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,41.25,0,41.25,MNKY Croissant Tray,4100 - Food Sales,FALSE
MNKY412,MNKY - Cupcakes (12),pack,40.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Cupcakes (12),320,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,40.5,0,40.5,MNKY Cupcakes (12),4100 - Food Sales,FALSE
MNKY413,MNKY - Cupcakes (24),pack,76.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Cupcakes (24),319,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,76.5,0,76.5,MNKY Cupcakes (24),4100 - Food Sales,FALSE
MNKY102,MNKY - Dozen Cookie Box (1),ea,13.13,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Cookie Box (12),318,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,13.5,0,13.5,MNKY Cookie Box (12),4100 - Food Sales,FALSE
MNKY407,MNKY - GF Cake Upcharge (1),ea,7.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY GF/VEGAN Cake Upcharge,317,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,7.5,0,7.5,MNKY GF/VEGAN Cake Upcharge,4100 - Food Sales,FALSE
MNKY101,MNKY - GF Lunchbox Cookie (1),ea,0.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Lunchbox Cookie,315,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,0.5,0,0.5,MNKY Lunchbox Cookie,4100 - Food Sales,FALSE
MNKY202,MNKY - GF Muffin Tray (1),ea,18,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Muffin Tray,316,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,18,0,18,MNKY Muffin Tray,4100 - Food Sales,FALSE
MNKY205,MNKY - GF Pastry Tray (1),ea,26.4,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Pastry Tray,313,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,33,0,33,MNKY Pastry Tray,4100 - Food Sales,FALSE
MNKY504,MNKY - Green Chili Cornbread (1),ea,7.2,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,HOLIDAY Green Chili Cornbread,499,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Green Chili Cornbread,4106 - Comm Prepped Food Sales,FALSE
MNKY100,MNKY - Lunchbox Cookie (1),ea,0.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Lunchbox Cookie,315,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,0.5,0,0.5,MNKY Lunchbox Cookie,4100 - Food Sales,FALSE
MNKY103,MNKY - Macaron Sleeve (1),ea,22.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Macaron Sleeve,314,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,22.5,0,22.5,MNKY Macaron Sleeve,4100 - Food Sales,FALSE
MNKY200,MNKY - Pastry Tray (1),ea,33,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Pastry Tray,313,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,33,0,33,MNKY Pastry Tray,4100 - Food Sales,FALSE
MNKY402,MNKY - Pie (1),ea,24.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Pie,312,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,24.75,0,24.75,MNKY Pie,4100 - Food Sales,FALSE
