BlueCart Name,Units,Status,R365 Commissary Item,Record Id,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides
Juice - Deeply Rooted (9),pack,Enabled,BTLD JUICE Deeply Rooted (Bottle),302,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Juice - Immunity Boost (9),pack,Enabled,BTLD JUICE Immunity Boost (Bottle),301,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Juice - Just Orange (9),pack,Enabled,BTLD JUICE Just Orange (Bottle),299,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Muffin - gf/df blueberry  (3),case,Enabled,,,,,,
Pastry - Individual Coffee Cakes (6),case,Enabled,,,,,,
Salad - BLT SALAD,each,Enabled,,,,,,
Salad - COBB SALAD,each,Enabled,,,,,,
Salad - MEXICAN CHICKEN CAESAR SALAD,each,Enabled,,,,,,
Salad - POWER GREENS SALAD,each,Enabled,,,,,,
Salad - QUINOA SALAD,each,Enabled,,,,,,
Salad - THE MED SALAD,each,Enabled,,,,,,
Sandwich - EGG SALAD SANDWICH,each,Enabled,,,,,,
Sandwich - ITALIAN SANDWICH,each,Enabled,,,,,,
Sandwich - PORTOBELLO SANDWICH,each,Enabled,,,,,,
Sandwich - ROAST TURKEY & FIG SANDWICH,each,Enabled,,,,,,
Sandwich - SW CHICKEN SANDWICH,each,Enabled,,,,,,
Sandwich - TURKEY & CHEDDAR,each,Enabled,,,,,,
Snack Box - CHEESE BOARD SNACK BOX,each,Enabled,,,,,,
Snack Box - CURRY CHICKEN SALAD SNACK BOX,each,Enabled,,,,,,
Snack Box - EGG SALAD SNACK BOX,each,Enabled,,,,,,
Snack Box - GOOD MORNING SNACK BOX,each,Enabled,,,,,,
Snack Box - PROTEIN SNACK BOX,each,Enabled,,,,,,
Wrap - BUFFALO CHICKEN SALAD WRAP,each,Enabled,,,,,,
Wrap - CHICKEN & KALE CAESAR SALAD WRAP,each,Enabled,,,,,,
